time_h,mode,T_btes_C,T_aria_C,Tw_in_C,Tw_out_C,Q_rtc_W,Q_dc_W,Q_solar_W,Q_dc_demand_W,T_dc_ret_C,Ta_C,Tb_C,Tc_C,Td_C,n_iter,mpc_best_reward,threshold_mode,threshold_reward,mpc_gain,mpc_changed,mpc_n_candidates
1243.0,idle,20.417910131132484,24.5,,,0.0,0.0,0.0,0.0,24.5,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,0.0,idle,0.0,0.0,False,1
1244.0,idle,20.39608205944059,24.0,,,0.0,0.0,0.0,0.0,24.0,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,0.0,idle,0.0,0.0,False,1
1245.0,idle,20.38048341371719,23.6,,,0.0,0.0,0.0,0.0,23.6,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,0.4371557928932083,idle,0.4371557928932083,0.0,False,1
1246.0,idle,20.368886722407602,23.1,,,0.0,0.0,0.0,0.0,23.1,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,0.8718480373764264,idle,0.8718480373764264,0.0,False,1
1247.0,idle,20.36035275239315,22.7,,,0.0,0.0,0.0,0.0,22.7,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,1.3289958278931644,idle,1.3289958278931644,0.0,False,1
1248.0,idle,20.352235975280998,22.2,,,0.0,0.0,0.0,0.0,22.2,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,1.8634210603189905,idle,1.8634210603189905,0.0,False,1
1249.0,idle,20.34595409905895,21.7,,,0.0,0.0,0.0,0.0,21.7,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,2.477278870540169,idle,2.477278870540169,0.0,False,1
1250.0,idle,20.340584929373826,21.9,,,0.0,0.0,0.0,0.0,21.9,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,3.1554670779669913,idle,3.1554670779669913,0.0,False,1
1251.0,idle,20.335988103162865,21.7,,,0.0,0.0,0.0,0.0,21.7,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,3.86519498964751,idle,3.86519498964751,0.0,False,1
1252.0,idle,20.331995531054268,21.5,,,0.0,0.0,0.0,0.0,21.5,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,4.565865702531222,idle,4.565865702531222,0.0,False,1
1253.0,idle,20.328476060598227,21.3,,,0.0,0.0,0.0,0.0,21.3,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,5.220126940491644,idle,5.220126940491644,0.0,False,1
1254.0,idle,20.32530946750636,21.1,,,0.0,0.0,0.0,0.0,21.1,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,5.789173857614556,idle,5.789173857614556,0.0,False,1
1255.0,idle,20.321683736009316,22.7,,,0.0,0.0,0.0,0.0,22.7,36.54587502902342,21.946623389955107,21.946114916379145,21.24072425187876,1,5.789173857614556,idle,5.789173857614556,0.0,False,1
1256.0,charge,20.625300431171862,25.6,20.625300431171866,20.730397558460197,460.9538336244637,0.0,520.1725000002111,0.0,25.6,34.63371663597758,21.614671295002324,21.938570464467546,21.24228473289952,2,5.793334681759952,charge,5.793334681759952,0.0,False,2
1257.0,charge,20.623447833334925,26.7,20.62344783333492,20.747499898955994,415.5202448289154,0.0,942.9510000007798,0.0,26.7,35.69930606113678,21.658212894134692,21.92985004186778,21.24382273353467,2,5.332424721471994,charge,5.332424721471994,0.0,False,2
1258.0,charge,20.6635293627142,27.6,20.6635293627142,20.81030572134688,453.6486263779245,0.0,1310.392000000509,0.0,27.6,38.45055604588265,21.86250275113349,21.923351619262633,21.245339991159142,2,4.915927844545086,charge,4.915927844545086,0.0,False,2
1259.0,charge,20.72690735342661,28.0,20.72690735342661,20.900428498067697,528.9304004736725,0.0,1576.0120000005613,0.0,28.0,41.669524333625816,22.134699079148106,21.920650132028356,21.24684350092383,2,4.460693209018397,charge,4.460693209018397,0.0,False,2
